gene	chr	3utr_start	3utr_end	length	source
YAL003W	chrI	143161	143373	213	Nagalakshmi_2008
YAL005C	chrI	139364	139503	140	Miura_2006
YAL007C	chrI	137569	137698	130	Nagalakshmi_2008
YAL008W	chrI	137511	137642	132	Nagalakshmi_2008
YAL010C	chrI	134084	134184	101	Nagalakshmi_2008
YAL011W	chrI	134077	134173	97	Nagalakshmi_2008
YAL012W	chrI	131984	132087	104	Nagalakshmi_2008
YAL016W	chrI	126787	126865	79	Xu_2009
YAL021C	chrI	110612	110846	235	Xu_2009
YAL022C	chrI	108836	108877	42	Nagalakshmi_2008
YAL023C	chrI	106164	106272	109	Nagalakshmi_2008
YAL025C	chrI	100059	100225	167	Zhang_2005
YAL030W	chrI	87753	87894	142	Miura_2006
YAL033W	chrI	83228	83311	84	Xu_2009
YAL034C	chrI	80605	80710	106	Xu_2009
YAL034W-A	chrI	80588	80675	88	Nagalakshmi_2008
YAL035W	chrI	79436	79537	102	Nagalakshmi_2008
YAL038W	chrI	73289	73457	169	Nagalakshmi_2008
YAL039C	chrI	68648	68716	69	Zhang_2005
YAL042W	chrI	62564	62646	83	Nagalakshmi_2008
YAL043C	chrI	58610	58695	86	Yassour_2009
YAL044C	chrI	57850	57950	101	Miura_2006
YAL044W-A	chrI	57851	58004	154	Miura_2006
YAL046C	chrI	56908	57029	122	Xu_2009
YAL047C	chrI	54935	54989	55	Miura_2006
YAL049C	chrI	51737	51855	119	Yassour_2009
YAL053W	chrI	48251	48331	81	Yassour_2009
YAL055W	chrI	42720	42804	85	Miura_2006
YAL058W	chrI	38973	39031	59	Xu_2009
YAL060W	chrI	36304	36420	117	Nagalakshmi_2008
YAR002C-A	chrI	154000	154065	66	Nagalakshmi_2008
YAR002W	chrI	153877	153989	113	Xu_2009
YAR003W	chrI	156286	156780	495	Nagalakshmi_2008
YAR007C	chrI	156705	156754	50	Miura_2006
YAR008W	chrI	159794	159890	97	Nagalakshmi_2008
YAR015W	chrI	170296	170395	100	Nagalakshmi_2008
YAR027W	chrI	184478	184655	178	Miura_2006
YAR028W	chrI	185597	185794	198	Nagalakshmi_2008
YBL001C	chrII	236906	237153	248	Miura_2006
YBL002W	chrII	236888	237150	263	Xu_2009
YBL003C	chrII	235216	235394	179	Miura_2006
YBL006C	chrII	216432	216587	156	Miura_2006
YBL007C	chrII	212474	212632	159	Zhang_2005
YBL010C	chrII	205900	206107	208	Nagalakshmi_2008
YBL011W	chrII	205818	206022	205	Nagalakshmi_2008
YBL014C	chrII	198955	199064	110	Xu_2009
YBL018C	chrII	185905	185998	94	Nagalakshmi_2008
YBL020W	chrII	184126	184205	80	Nagalakshmi_2008
YBL021C	chrII	181505	181660	156	Xu_2009
YBL022C	chrII	177793	177874	82	Xu_2009
YBL026W	chrII	171039	171190	152	Miura_2006
YBL027W	chrII	169377	169524	148	Miura_2006
YBL028C	chrII	167327	167518	192	Xu_2009
YBL029C-A	chrII	164366	164488	123	Xu_2009
YBL030C	chrII	162768	163041	274	Miura_2006
YBL032W	chrII	161330	161518	189	Yassour_2009
YBL033C	chrII	158595	158656	62	Nagalakshmi_2008
YBL036C	chrII	150327	150447	121	Xu_2009
YBL038W	chrII	146886	146951	66	Nagalakshmi_2008
YBL039W-B	chrII	143573	143749	177	Miura_2006
YBL040C	chrII	142036	142112	77	Zhang_2005
YBL041W	chrII	141973	142113	141	Xu_2009
